[ 2012-09-17T01:02:22+08:00 ] /xxx2/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-09-17T01:02:22+08:00 ] /xxx2/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001258s ]
[ 2012-09-17T01:02:22+08:00 ] /xxx2/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001365s ]
[ 2012-09-17T01:02:22+08:00 ] /xxx2/admin.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) IndexAction.class.php 第 12 行.
[ 2012-09-17T01:02:22+08:00 ] /xxx2/admin.php | INFO: Tag[ view_template ] --START--
[ 2012-09-17T01:02:22+08:00 ] /xxx2/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001444s ]
[ 2012-09-17T01:02:22+08:00 ] /xxx2/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001527s ]
[ 2012-09-17T01:02:22+08:00 ] /xxx2/admin.php | INFO: Tag[ view_parse ] --START--
[ 2012-09-17T01:02:22+08:00 ] /xxx2/admin.php | NOTIC: [8] Undefined variable: title 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 5 行.
[ 2012-09-17T01:02:22+08:00 ] /xxx2/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.026466s ]
[ 2012-09-17T01:02:22+08:00 ] /xxx2/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.026543s ]
[ 2012-09-17T01:02:22+08:00 ] /xxx2/admin.php | INFO: Tag[ view_filter ] --START--
[ 2012-09-17T01:02:22+08:00 ] /xxx2/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.001013s ]
[ 2012-09-17T01:02:22+08:00 ] /xxx2/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000912s ]
[ 2012-09-17T01:02:23+08:00 ] /xxx2/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000696s ]
[ 2012-09-17T01:02:23+08:00 ] /xxx2/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000921s ]
[ 2012-09-17T01:02:23+08:00 ] /xxx2/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003731s ]
[ 2012-09-17T01:02:23+08:00 ] /xxx2/admin.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 120 行.
[ 2012-09-17T01:02:23+08:00 ] /xxx2/admin.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 121 行.
[ 2012-09-17T01:02:23+08:00 ] /xxx2/admin.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 122 行.
[ 2012-09-17T01:02:23+08:00 ] /xxx2/admin.php | INFO: Tag[ view_end ] --START--
[ 2012-09-17T01:02:23+08:00 ] /xxx2/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000823s ]
[ 2012-09-17T01:02:23+08:00 ] /xxx2/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000891s ]
[ 2012-09-17T01:02:27+08:00 ] /xxx2/admin.php/Classname/classname | INFO: Tag[ route_check ] --START--
[ 2012-09-17T01:02:27+08:00 ] /xxx2/admin.php/Classname/classname | INFO: Run CheckRoute Behavior [ RunTime:0.001011s ]
[ 2012-09-17T01:02:27+08:00 ] /xxx2/admin.php/Classname/classname | INFO: Tag[ route_check ] --END-- [ RunTime:0.001146s ]
[ 2012-09-17T01:02:27+08:00 ] /xxx2/admin.php/Classname/classname | INFO: Tag[ app_begin ] --START--
[ 2012-09-17T01:02:27+08:00 ] /xxx2/admin.php/Classname/classname | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000647s ]
[ 2012-09-17T01:02:27+08:00 ] /xxx2/admin.php/Classname/classname | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000718s ]
[ 2012-09-17T01:02:27+08:00 ] /xxx2/admin.php/Classname/classname | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\ClassnameAction.class.php:1) ClassnameAction.class.php 第 12 行.
[ 2012-09-17T01:02:27+08:00 ] /xxx2/admin.php/Classname/classname | SQL: SHOW COLUMNS FROM `think_class` [ RunTime:0.003005s ]
[ 2012-09-17T01:02:27+08:00 ] /xxx2/admin.php/Classname/classname | SQL: SELECT `class` FROM `think_class`  [ RunTime:0.000902s ]
