[ 2013-01-03T10:18:05+08:00 ] /xxx2/admin_e.php | INFO: Tag[ app_begin ] --START--
[ 2013-01-03T10:18:05+08:00 ] /xxx2/admin_e.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001251s ]
[ 2013-01-03T10:18:05+08:00 ] /xxx2/admin_e.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001352s ]
[ 2013-01-03T10:31:38+08:00 ] /xxx2/admin_e.php | INFO: Tag[ app_begin ] --START--
[ 2013-01-03T10:31:38+08:00 ] /xxx2/admin_e.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001888s ]
[ 2013-01-03T10:31:38+08:00 ] /xxx2/admin_e.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002022s ]
[ 2013-01-03T10:31:38+08:00 ] /xxx2/admin_e.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin_e\Lib\Action\IndexAction.class.php:1) IndexAction.class.php 第 12 行.
[ 2013-01-03T10:31:38+08:00 ] /xxx2/admin_e.php | INFO: Tag[ view_template ] --START--
[ 2013-01-03T10:31:38+08:00 ] /xxx2/admin_e.php | INFO: Run LocationTemplate Behavior [ RunTime:0.002068s ]
[ 2013-01-03T10:31:38+08:00 ] /xxx2/admin_e.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.002190s ]
[ 2013-01-03T10:31:38+08:00 ] /xxx2/admin_e.php | INFO: Tag[ view_parse ] --START--
[ 2013-01-03T10:31:38+08:00 ] /xxx2/admin_e.php | NOTIC: [8] Undefined variable: title b0872ea2d85837dada806fd5db157a03.php 第 5 行.
[ 2013-01-03T10:31:38+08:00 ] /xxx2/admin_e.php | INFO: Run ParseTemplate Behavior [ RunTime:0.032822s ]
[ 2013-01-03T10:31:38+08:00 ] /xxx2/admin_e.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.032917s ]
[ 2013-01-03T10:31:38+08:00 ] /xxx2/admin_e.php | INFO: Tag[ view_filter ] --START--
[ 2013-01-03T10:31:38+08:00 ] /xxx2/admin_e.php | INFO: Run ContentReplace Behavior [ RunTime:0.000962s ]
[ 2013-01-03T10:31:38+08:00 ] /xxx2/admin_e.php | INFO: Run TokenBuild Behavior [ RunTime:0.001667s ]
[ 2013-01-03T10:31:38+08:00 ] /xxx2/admin_e.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000785s ]
[ 2013-01-03T10:31:38+08:00 ] /xxx2/admin_e.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001514s ]
[ 2013-01-03T10:31:38+08:00 ] /xxx2/admin_e.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005195s ]
[ 2013-01-03T10:31:38+08:00 ] /xxx2/admin_e.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin_e\Lib\Action\IndexAction.class.php:1) View.class.php 第 120 行.
[ 2013-01-03T10:31:38+08:00 ] /xxx2/admin_e.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin_e\Lib\Action\IndexAction.class.php:1) View.class.php 第 121 行.
[ 2013-01-03T10:31:38+08:00 ] /xxx2/admin_e.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin_e\Lib\Action\IndexAction.class.php:1) View.class.php 第 122 行.
[ 2013-01-03T10:31:38+08:00 ] /xxx2/admin_e.php | INFO: Tag[ view_end ] --START--
[ 2013-01-03T10:31:38+08:00 ] /xxx2/admin_e.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000862s ]
[ 2013-01-03T10:31:38+08:00 ] /xxx2/admin_e.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000931s ]
[ 2013-01-03T10:31:43+08:00 ] /xxx2/admin_e.php/Article/index | INFO: Tag[ route_check ] --START--
[ 2013-01-03T10:31:43+08:00 ] /xxx2/admin_e.php/Article/index | INFO: Run CheckRoute Behavior [ RunTime:0.000976s ]
[ 2013-01-03T10:31:43+08:00 ] /xxx2/admin_e.php/Article/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001144s ]
[ 2013-01-03T10:31:43+08:00 ] /xxx2/admin_e.php/Article/index | INFO: Tag[ app_begin ] --START--
[ 2013-01-03T10:31:43+08:00 ] /xxx2/admin_e.php/Article/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000675s ]
[ 2013-01-03T10:31:43+08:00 ] /xxx2/admin_e.php/Article/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000739s ]
[ 2013-01-03T10:31:43+08:00 ] /xxx2/admin_e.php/Article/index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin_e\Lib\Action\ArticleAction.class.php:1) ArticleAction.class.php 第 35 行.
[ 2013-01-03T10:31:43+08:00 ] /xxx2/admin_e.php/Article/index | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.000253s ]
[ 2013-01-03T10:31:43+08:00 ] /xxx2/admin_e.php/Article/index | NOTIC: [8] Undefined index: id ArticleAction.class.php 第 39 行.
[ 2013-01-03T10:31:43+08:00 ] /xxx2/admin_e.php/Article/index | SQL: SELECT `id`,`f_cata`,`isf`,`f_id`,`p_id` FROM `think_catalog` WHERE f_id='0'  [ RunTime:0.000280s ]
[ 2013-01-03T10:31:43+08:00 ] /xxx2/admin_e.php/Article/index | INFO: Tag[ view_template ] --START--
[ 2013-01-03T10:31:43+08:00 ] /xxx2/admin_e.php/Article/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001324s ]
[ 2013-01-03T10:31:43+08:00 ] /xxx2/admin_e.php/Article/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001400s ]
[ 2013-01-03T10:31:43+08:00 ] /xxx2/admin_e.php/Article/index | INFO: Tag[ view_parse ] --START--
[ 2013-01-03T10:31:43+08:00 ] /xxx2/admin_e.php/Article/index | NOTIC: [8] Undefined variable: username 74c10800cad66a845eb44b7393039714.php 第 66 行.
[ 2013-01-03T10:31:43+08:00 ] /xxx2/admin_e.php/Article/index | NOTIC: [8] Undefined variable: username 74c10800cad66a845eb44b7393039714.php 第 66 行.
[ 2013-01-03T10:31:43+08:00 ] /xxx2/admin_e.php/Article/index | NOTIC: [8] Undefined variable: article_item 74c10800cad66a845eb44b7393039714.php 第 140 行.
[ 2013-01-03T10:31:43+08:00 ] /xxx2/admin_e.php/Article/index | NOTIC: [8] Undefined variable: mm 74c10800cad66a845eb44b7393039714.php 第 151 行.
