[ 2012-09-01T00:02:36+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ route_check ] --START--
[ 2012-09-01T00:02:36+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run CheckRoute Behavior [ RunTime:0.000938s ]
[ 2012-09-01T00:02:36+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ route_check ] --END-- [ RunTime:0.001046s ]
[ 2012-09-01T00:02:36+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ app_begin ] --START--
[ 2012-09-01T00:02:36+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000634s ]
[ 2012-09-01T00:02:36+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000701s ]
[ 2012-09-01T00:02:36+08:00 ] /xxx2/index.php/Index/index_pwd | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.002524s ]
[ 2012-09-01T00:02:36+08:00 ] /xxx2/index.php/Index/index_pwd | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0  [ RunTime:0.000444s ]
[ 2012-09-01T00:02:36+08:00 ] /xxx2/index.php/Index/index_pwd | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.002086s ]
[ 2012-09-01T00:02:36+08:00 ] /xxx2/index.php/Index/index_pwd | SQL: SELECT `id`,`addr`,`info` FROM `think_link`  [ RunTime:0.000377s ]
[ 2012-09-01T00:02:36+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_template ] --START--
[ 2012-09-01T00:02:36+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run LocationTemplate Behavior [ RunTime:0.001036s ]
[ 2012-09-01T00:02:36+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_template ] --END-- [ RunTime:0.001121s ]
[ 2012-09-01T00:02:36+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_parse ] --START--
[ 2012-09-01T00:02:36+08:00 ] /xxx2/index.php/Index/index_pwd | NOTIC: [8] Undefined variable: title 6833fa2ead415a5b4ec6ad6a5c246f7d.php 第 7 行.
[ 2012-09-01T00:02:36+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run ParseTemplate Behavior [ RunTime:0.011731s ]
[ 2012-09-01T00:02:36+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011813s ]
[ 2012-09-01T00:02:36+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_filter ] --START--
[ 2012-09-01T00:02:36+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run ContentReplace Behavior [ RunTime:0.001302s ]
[ 2012-09-01T00:02:36+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run TokenBuild Behavior [ RunTime:0.000606s ]
[ 2012-09-01T00:02:36+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000385s ]
[ 2012-09-01T00:02:36+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run ShowRuntime Behavior [ RunTime:0.000714s ]
[ 2012-09-01T00:02:36+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003204s ]
[ 2012-09-01T00:02:36+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_end ] --START--
[ 2012-09-01T00:02:36+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run ShowPageTrace Behavior [ RunTime:0.000633s ]
[ 2012-09-01T00:02:36+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_end ] --END-- [ RunTime:0.000700s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ route_check ] --START--
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run CheckRoute Behavior [ RunTime:0.001020s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ route_check ] --END-- [ RunTime:0.001141s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ app_begin ] --START--
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000663s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000738s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.021891s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0  [ RunTime:0.000393s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.002470s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | SQL: SELECT `id`,`addr`,`info` FROM `think_link`  [ RunTime:0.000436s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_template ] --START--
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run LocationTemplate Behavior [ RunTime:0.000593s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_template ] --END-- [ RunTime:0.000668s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_parse ] --START--
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | NOTIC: [8] Undefined variable: title 6833fa2ead415a5b4ec6ad6a5c246f7d.php 第 7 行.
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run ParseTemplate Behavior [ RunTime:0.011321s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011401s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_filter ] --START--
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run ContentReplace Behavior [ RunTime:0.000428s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run TokenBuild Behavior [ RunTime:0.000443s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000249s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run ShowRuntime Behavior [ RunTime:0.000493s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001790s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_end ] --START--
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run ShowPageTrace Behavior [ RunTime:0.000453s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_end ] --END-- [ RunTime:0.000514s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ route_check ] --START--
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run CheckRoute Behavior [ RunTime:0.001165s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ route_check ] --END-- [ RunTime:0.001290s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ app_begin ] --START--
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000647s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000715s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.002610s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0  [ RunTime:0.000458s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.001698s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | SQL: SELECT `id`,`addr`,`info` FROM `think_link`  [ RunTime:0.000983s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_template ] --START--
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run LocationTemplate Behavior [ RunTime:0.000581s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_template ] --END-- [ RunTime:0.000654s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_parse ] --START--
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | NOTIC: [8] Undefined variable: title 6833fa2ead415a5b4ec6ad6a5c246f7d.php 第 7 行.
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run ParseTemplate Behavior [ RunTime:0.011014s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011093s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_filter ] --START--
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run ContentReplace Behavior [ RunTime:0.000408s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run TokenBuild Behavior [ RunTime:0.000438s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000244s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run ShowRuntime Behavior [ RunTime:0.000555s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001848s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_end ] --START--
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run ShowPageTrace Behavior [ RunTime:0.000991s ]
[ 2012-09-01T00:02:37+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_end ] --END-- [ RunTime:0.001085s ]
[ 2012-09-01T00:03:27+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-01T00:03:27+08:00 ] /xxx2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000608s ]
[ 2012-09-01T00:03:27+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000711s ]
[ 2012-09-01T00:03:27+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.002123s ]
[ 2012-09-01T00:03:27+08:00 ] /xxx2/ | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0  [ RunTime:0.001108s ]
[ 2012-09-01T00:03:27+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.002233s ]
[ 2012-09-01T00:03:27+08:00 ] /xxx2/ | SQL: SELECT `id`,`addr`,`info` FROM `think_link`  [ RunTime:0.000509s ]
[ 2012-09-01T00:03:27+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_tongzhi` [ RunTime:0.002259s ]
[ 2012-09-01T00:03:27+08:00 ] /xxx2/ | SQL: SELECT `id`,`title`,`content`,`name`,`dt` FROM `think_tongzhi`  [ RunTime:0.000472s ]
[ 2012-09-01T00:03:27+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --START--
[ 2012-09-01T00:03:27+08:00 ] /xxx2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000802s ]
[ 2012-09-01T00:03:27+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000876s ]
[ 2012-09-01T00:03:27+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-01T00:03:28+08:00 ] /xxx2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.012556s ]
[ 2012-09-01T00:03:28+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012667s ]
[ 2012-09-01T00:03:28+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-01T00:03:28+08:00 ] /xxx2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000406s ]
[ 2012-09-01T00:03:28+08:00 ] /xxx2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000446s ]
[ 2012-09-01T00:03:28+08:00 ] /xxx2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000242s ]
[ 2012-09-01T00:03:28+08:00 ] /xxx2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000578s ]
[ 2012-09-01T00:03:28+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001853s ]
[ 2012-09-01T00:03:28+08:00 ] /xxx2/ | INFO: Tag[ view_end ] --START--
[ 2012-09-01T00:03:28+08:00 ] /xxx2/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000595s ]
[ 2012-09-01T00:03:28+08:00 ] /xxx2/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000668s ]
[ 2012-09-01T00:03:30+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ route_check ] --START--
[ 2012-09-01T00:03:30+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run CheckRoute Behavior [ RunTime:0.001090s ]
[ 2012-09-01T00:03:30+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ route_check ] --END-- [ RunTime:0.001228s ]
[ 2012-09-01T00:03:30+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ app_begin ] --START--
[ 2012-09-01T00:03:30+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000704s ]
[ 2012-09-01T00:03:30+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000777s ]
[ 2012-09-01T00:03:30+08:00 ] /xxx2/index.php/Index/index_pwd | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.002319s ]
[ 2012-09-01T00:03:30+08:00 ] /xxx2/index.php/Index/index_pwd | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0  [ RunTime:0.000571s ]
[ 2012-09-01T00:03:30+08:00 ] /xxx2/index.php/Index/index_pwd | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.002030s ]
[ 2012-09-01T00:03:30+08:00 ] /xxx2/index.php/Index/index_pwd | SQL: SELECT `id`,`addr`,`info` FROM `think_link`  [ RunTime:0.000492s ]
[ 2012-09-01T00:03:30+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_template ] --START--
[ 2012-09-01T00:03:30+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run LocationTemplate Behavior [ RunTime:0.000515s ]
[ 2012-09-01T00:03:30+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_template ] --END-- [ RunTime:0.000588s ]
[ 2012-09-01T00:03:30+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_parse ] --START--
[ 2012-09-01T00:03:30+08:00 ] /xxx2/index.php/Index/index_pwd | NOTIC: [8] Undefined variable: title 6833fa2ead415a5b4ec6ad6a5c246f7d.php 第 7 行.
[ 2012-09-01T00:03:30+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run ParseTemplate Behavior [ RunTime:0.010861s ]
[ 2012-09-01T00:03:30+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010939s ]
[ 2012-09-01T00:03:30+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_filter ] --START--
[ 2012-09-01T00:03:30+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run ContentReplace Behavior [ RunTime:0.000457s ]
[ 2012-09-01T00:03:30+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run TokenBuild Behavior [ RunTime:0.000524s ]
[ 2012-09-01T00:03:30+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000383s ]
[ 2012-09-01T00:03:30+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run ShowRuntime Behavior [ RunTime:0.000533s ]
