[ 2012-09-14T22:48:44+08:00 ] /xxx2/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-09-14T22:48:44+08:00 ] /xxx2/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001740s ]
[ 2012-09-14T22:48:44+08:00 ] /xxx2/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.023816s ]
[ 2012-09-14T22:48:44+08:00 ] /xxx2/index.php | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.044425s ]
[ 2012-09-14T22:48:44+08:00 ] /xxx2/index.php | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0  [ RunTime:0.000835s ]
[ 2012-09-14T22:48:44+08:00 ] /xxx2/index.php | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.013422s ]
[ 2012-09-14T22:48:44+08:00 ] /xxx2/index.php | SQL: SELECT `id`,`addr`,`info` FROM `think_link`  [ RunTime:0.039021s ]
[ 2012-09-14T22:48:44+08:00 ] /xxx2/index.php | SQL: SHOW COLUMNS FROM `think_tongzhi` [ RunTime:0.025397s ]
[ 2012-09-14T22:48:44+08:00 ] /xxx2/index.php | SQL: SELECT `id`,`title`,`content`,`name`,`dt` FROM `think_tongzhi`  [ RunTime:0.001011s ]
[ 2012-09-14T22:48:44+08:00 ] /xxx2/index.php | NOTIC: [8] Undefined index: username functions.php 第 441 行.
[ 2012-09-14T22:48:44+08:00 ] /xxx2/index.php | INFO: Tag[ view_template ] --START--
[ 2012-09-14T22:48:44+08:00 ] /xxx2/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.030890s ]
[ 2012-09-14T22:48:44+08:00 ] /xxx2/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.031002s ]
[ 2012-09-14T22:48:44+08:00 ] /xxx2/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-09-14T22:48:44+08:00 ] /xxx2/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.091046s ]
[ 2012-09-14T22:48:44+08:00 ] /xxx2/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.091179s ]
[ 2012-09-14T22:48:44+08:00 ] /xxx2/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-09-14T22:48:44+08:00 ] /xxx2/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.012695s ]
[ 2012-09-14T22:48:44+08:00 ] /xxx2/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.001683s ]
[ 2012-09-14T22:48:44+08:00 ] /xxx2/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001053s ]
[ 2012-09-14T22:48:44+08:00 ] /xxx2/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001076s ]
[ 2012-09-14T22:48:44+08:00 ] /xxx2/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.016785s ]
[ 2012-09-14T22:48:44+08:00 ] /xxx2/index.php | INFO: Tag[ view_end ] --START--
[ 2012-09-14T22:48:44+08:00 ] /xxx2/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.003142s ]
[ 2012-09-14T22:48:44+08:00 ] /xxx2/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.003239s ]
