[ 2012-09-20T00:00:26+08:00 ] /xxx2/index.php/Room/basic_info/ | INFO: Tag[ route_check ] --START--
[ 2012-09-20T00:00:26+08:00 ] /xxx2/index.php/Room/basic_info/ | INFO: Run CheckRoute Behavior [ RunTime:0.001191s ]
[ 2012-09-20T00:00:26+08:00 ] /xxx2/index.php/Room/basic_info/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001296s ]
[ 2012-09-20T00:00:26+08:00 ] /xxx2/index.php/Room/basic_info/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-20T00:00:26+08:00 ] /xxx2/index.php/Room/basic_info/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000816s ]
[ 2012-09-20T00:00:26+08:00 ] /xxx2/index.php/Room/basic_info/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000880s ]
[ 2012-09-20T00:00:26+08:00 ] /xxx2/index.php/Room/basic_info/ | SQL: SHOW COLUMNS FROM `think_login` [ RunTime:0.002615s ]
[ 2012-09-20T00:00:26+08:00 ] /xxx2/index.php/Room/basic_info/ | SQL: SELECT * FROM `think_login` WHERE username='1091306420' LIMIT 1   [ RunTime:0.000578s ]
[ 2012-09-20T00:00:26+08:00 ] /xxx2/index.php/Room/basic_info/ | INFO: Tag[ view_template ] --START--
[ 2012-09-20T00:00:26+08:00 ] /xxx2/index.php/Room/basic_info/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000986s ]
[ 2012-09-20T00:00:26+08:00 ] /xxx2/index.php/Room/basic_info/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001063s ]
[ 2012-09-20T00:00:26+08:00 ] /xxx2/index.php/Room/basic_info/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-20T00:00:26+08:00 ] /xxx2/index.php/Room/basic_info/ | INFO: Run ParseTemplate Behavior [ RunTime:0.010393s ]
[ 2012-09-20T00:00:26+08:00 ] /xxx2/index.php/Room/basic_info/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010497s ]
[ 2012-09-20T00:00:26+08:00 ] /xxx2/index.php/Room/basic_info/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-20T00:00:26+08:00 ] /xxx2/index.php/Room/basic_info/ | INFO: Run ContentReplace Behavior [ RunTime:0.000580s ]
[ 2012-09-20T00:00:26+08:00 ] /xxx2/index.php/Room/basic_info/ | INFO: Run TokenBuild Behavior [ RunTime:0.000599s ]
[ 2012-09-20T00:00:26+08:00 ] /xxx2/index.php/Room/basic_info/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000390s ]
[ 2012-09-20T00:00:26+08:00 ] /xxx2/index.php/Room/basic_info/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000635s ]
[ 2012-09-20T00:00:26+08:00 ] /xxx2/index.php/Room/basic_info/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002384s ]
[ 2012-09-20T00:00:26+08:00 ] /xxx2/index.php/Room/basic_info/ | INFO: Tag[ view_end ] --START--
[ 2012-09-20T00:00:26+08:00 ] /xxx2/index.php/Room/basic_info/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000599s ]
[ 2012-09-20T00:00:26+08:00 ] /xxx2/index.php/Room/basic_info/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000664s ]
[ 2012-09-20T00:00:28+08:00 ] /xxx2/index.php/Room/index/resources/images/closelabel.gif | INFO: Tag[ route_check ] --START--
[ 2012-09-20T00:00:28+08:00 ] /xxx2/index.php/Room/index/resources/images/closelabel.gif | INFO: Run CheckRoute Behavior [ RunTime:0.000934s ]
[ 2012-09-20T00:00:28+08:00 ] /xxx2/index.php/Room/index/resources/images/closelabel.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.001045s ]
[ 2012-09-20T00:00:28+08:00 ] /xxx2/index.php/Room/index/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --START--
