[ 2012-10-06T00:20:31+08:00 ] /xxx2/index.php/Show/show/id/%E8%B5%84%E6%96%99 | INFO: Tag[ route_check ] --START--
[ 2012-10-06T00:20:31+08:00 ] /xxx2/index.php/Show/show/id/%E8%B5%84%E6%96%99 | INFO: Run CheckRoute Behavior [ RunTime:0.002189s ]
[ 2012-10-06T00:20:31+08:00 ] /xxx2/index.php/Show/show/id/%E8%B5%84%E6%96%99 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002329s ]
[ 2012-10-06T00:20:31+08:00 ] /xxx2/index.php/Show/show/id/%E8%B5%84%E6%96%99 | INFO: Tag[ app_begin ] --START--
[ 2012-10-06T00:20:31+08:00 ] /xxx2/index.php/Show/show/id/%E8%B5%84%E6%96%99 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002258s ]
[ 2012-10-06T00:20:31+08:00 ] /xxx2/index.php/Show/show/id/%E8%B5%84%E6%96%99 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002349s ]
[ 2012-10-06T00:20:32+08:00 ] /xxx2/index.php/Show/show/id/%E8%B5%84%E6%96%99 | SQL: SHOW COLUMNS FROM `think_cata` [ RunTime:0.002621s ]
[ 2012-10-06T00:20:32+08:00 ] /xxx2/index.php/Show/show/id/%E8%B5%84%E6%96%99 | SQL: SELECT `title`,`content`,`user`,`dt` FROM `think_cata` WHERE Catalog='资料'  [ RunTime:0.000499s ]
[ 2012-10-06T00:20:32+08:00 ] /xxx2/index.php/Show/show/id/%E8%B5%84%E6%96%99 | INFO: Tag[ view_template ] --START--
[ 2012-10-06T00:20:32+08:00 ] /xxx2/index.php/Show/show/id/%E8%B5%84%E6%96%99 | INFO: Run LocationTemplate Behavior [ RunTime:0.025466s ]
[ 2012-10-06T00:20:32+08:00 ] /xxx2/index.php/Show/show/id/%E8%B5%84%E6%96%99 | INFO: Tag[ view_template ] --END-- [ RunTime:0.025577s ]
[ 2012-10-06T00:20:32+08:00 ] /xxx2/index.php/Show/show/id/%E8%B5%84%E6%96%99 | INFO: Tag[ view_parse ] --START--
[ 2012-10-06T00:20:32+08:00 ] /xxx2/index.php/Show/show/id/%E8%B5%84%E6%96%99 | INFO: Run ParseTemplate Behavior [ RunTime:0.153963s ]
[ 2012-10-06T00:20:32+08:00 ] /xxx2/index.php/Show/show/id/%E8%B5%84%E6%96%99 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.154083s ]
[ 2012-10-06T00:20:32+08:00 ] /xxx2/index.php/Show/show/id/%E8%B5%84%E6%96%99 | INFO: Tag[ view_filter ] --START--
[ 2012-10-06T00:20:32+08:00 ] /xxx2/index.php/Show/show/id/%E8%B5%84%E6%96%99 | INFO: Run ContentReplace Behavior [ RunTime:0.040416s ]
[ 2012-10-06T00:20:32+08:00 ] /xxx2/index.php/Show/show/id/%E8%B5%84%E6%96%99 | INFO: Run TokenBuild Behavior [ RunTime:0.000961s ]
