[ 2012-09-01T01:07:51+08:00 ] /xxx2/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-09-01T01:07:51+08:00 ] /xxx2/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000923s ]
[ 2012-09-01T01:07:51+08:00 ] /xxx2/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001033s ]
[ 2012-09-01T01:07:51+08:00 ] /xxx2/admin.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) IndexAction.class.php 第 12 行.
[ 2012-09-01T01:07:51+08:00 ] /xxx2/admin.php | INFO: Tag[ view_template ] --START--
[ 2012-09-01T01:07:51+08:00 ] /xxx2/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.060352s ]
[ 2012-09-01T01:07:51+08:00 ] /xxx2/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.060471s ]
[ 2012-09-01T01:07:51+08:00 ] /xxx2/admin.php | INFO: Tag[ view_parse ] --START--
[ 2012-09-01T01:07:51+08:00 ] /xxx2/admin.php | NOTIC: [8] Undefined variable: title 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 5 行.
[ 2012-09-01T01:07:51+08:00 ] /xxx2/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.152319s ]
[ 2012-09-01T01:07:51+08:00 ] /xxx2/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.152403s ]
[ 2012-09-01T01:07:51+08:00 ] /xxx2/admin.php | INFO: Tag[ view_filter ] --START--
[ 2012-09-01T01:07:51+08:00 ] /xxx2/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000674s ]
[ 2012-09-01T01:07:51+08:00 ] /xxx2/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000622s ]
[ 2012-09-01T01:07:51+08:00 ] /xxx2/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000450s ]
[ 2012-09-01T01:07:51+08:00 ] /xxx2/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000674s ]
[ 2012-09-01T01:07:51+08:00 ] /xxx2/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002631s ]
[ 2012-09-01T01:07:51+08:00 ] /xxx2/admin.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 120 行.
[ 2012-09-01T01:07:51+08:00 ] /xxx2/admin.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 121 行.
[ 2012-09-01T01:07:51+08:00 ] /xxx2/admin.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 122 行.
[ 2012-09-01T01:07:51+08:00 ] /xxx2/admin.php | INFO: Tag[ view_end ] --START--
[ 2012-09-01T01:07:51+08:00 ] /xxx2/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000669s ]
[ 2012-09-01T01:07:51+08:00 ] /xxx2/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000740s ]
[ 2012-09-01T01:07:54+08:00 ] /xxx2/admin.php/Article/index | INFO: Tag[ route_check ] --START--
[ 2012-09-01T01:07:54+08:00 ] /xxx2/admin.php/Article/index | INFO: Run CheckRoute Behavior [ RunTime:0.000944s ]
[ 2012-09-01T01:07:54+08:00 ] /xxx2/admin.php/Article/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001062s ]
[ 2012-09-01T01:07:54+08:00 ] /xxx2/admin.php/Article/index | INFO: Tag[ app_begin ] --START--
[ 2012-09-01T01:07:54+08:00 ] /xxx2/admin.php/Article/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000641s ]
