[ 2012-08-29T08:24:37+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-29T08:24:37+08:00 ] /xxx2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001938s ]
[ 2012-08-29T08:24:37+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.013214s ]
[ 2012-08-29T08:24:37+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.072044s ]
[ 2012-08-29T08:24:37+08:00 ] /xxx2/ | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0  [ RunTime:0.006578s ]
[ 2012-08-29T08:24:37+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.080790s ]
[ 2012-08-29T08:24:37+08:00 ] /xxx2/ | SQL: SELECT `id`,`addr`,`info` FROM `think_link`  [ RunTime:0.012296s ]
[ 2012-08-29T08:24:37+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_tongzhi` [ RunTime:0.073003s ]
[ 2012-08-29T08:24:37+08:00 ] /xxx2/ | SQL: SELECT `id`,`title`,`content`,`name`,`dt` FROM `think_tongzhi`  [ RunTime:0.001232s ]
[ 2012-08-29T08:24:37+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --START--
[ 2012-08-29T08:24:37+08:00 ] /xxx2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.033055s ]
[ 2012-08-29T08:24:37+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.033222s ]
[ 2012-08-29T08:24:37+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-29T08:24:37+08:00 ] /xxx2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.078934s ]
[ 2012-08-29T08:24:37+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.079147s ]
[ 2012-08-29T08:24:37+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-29T08:24:37+08:00 ] /xxx2/ | INFO: Run ContentReplace Behavior [ RunTime:0.005103s ]
[ 2012-08-29T08:24:37+08:00 ] /xxx2/ | INFO: Run TokenBuild Behavior [ RunTime:0.002328s ]
[ 2012-08-29T08:24:37+08:00 ] /xxx2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002177s ]
[ 2012-08-29T08:24:37+08:00 ] /xxx2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.004262s ]
[ 2012-08-29T08:24:37+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.014396s ]
[ 2012-08-29T08:24:37+08:00 ] /xxx2/ | INFO: Tag[ view_end ] --START--
[ 2012-08-29T08:24:37+08:00 ] /xxx2/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000948s ]
[ 2012-08-29T08:24:37+08:00 ] /xxx2/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001016s ]
[ 2012-08-29T08:29:53+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-29T08:29:53+08:00 ] /xxx2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000992s ]
[ 2012-08-29T08:29:53+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001105s ]
[ 2012-08-29T08:29:53+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.002164s ]
[ 2012-08-29T08:29:53+08:00 ] /xxx2/ | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0  [ RunTime:0.000452s ]
[ 2012-08-29T08:29:53+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.001713s ]
[ 2012-08-29T08:29:53+08:00 ] /xxx2/ | SQL: SELECT `id`,`addr`,`info` FROM `think_link`  [ RunTime:0.000575s ]
[ 2012-08-29T08:29:53+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_tongzhi` [ RunTime:0.001813s ]
[ 2012-08-29T08:29:53+08:00 ] /xxx2/ | SQL: SELECT `id`,`title`,`content`,`name`,`dt` FROM `think_tongzhi`  [ RunTime:0.000581s ]
[ 2012-08-29T08:29:53+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --START--
[ 2012-08-29T08:29:53+08:00 ] /xxx2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001189s ]
[ 2012-08-29T08:29:53+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001277s ]
[ 2012-08-29T08:29:53+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-29T08:29:53+08:00 ] /xxx2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.018870s ]
[ 2012-08-29T08:29:53+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018974s ]
[ 2012-08-29T08:29:53+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-29T08:29:53+08:00 ] /xxx2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000664s ]
[ 2012-08-29T08:29:53+08:00 ] /xxx2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000918s ]
