[ 2012-09-19T10:23:52+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-19T10:23:52+08:00 ] /xxx2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000630s ]
[ 2012-09-19T10:23:52+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000734s ]
[ 2012-09-19T10:23:52+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.054951s ]
[ 2012-09-19T10:23:52+08:00 ] /xxx2/ | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0  [ RunTime:0.037264s ]
[ 2012-09-19T10:23:52+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.032659s ]
[ 2012-09-19T10:23:52+08:00 ] /xxx2/ | SQL: SELECT `id`,`addr`,`info` FROM `think_link`  [ RunTime:0.015517s ]
[ 2012-09-19T10:23:52+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_tongzhi` [ RunTime:0.013984s ]
[ 2012-09-19T10:23:52+08:00 ] /xxx2/ | SQL: SELECT `id`,`title`,`content`,`name`,`dt` FROM `think_tongzhi`  [ RunTime:0.000451s ]
[ 2012-09-19T10:23:52+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --START--
[ 2012-09-19T10:23:52+08:00 ] /xxx2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.010846s ]
[ 2012-09-19T10:23:52+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.010954s ]
[ 2012-09-19T10:23:52+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-19T10:23:52+08:00 ] /xxx2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.055547s ]
[ 2012-09-19T10:23:52+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.055665s ]
[ 2012-09-19T10:23:52+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-19T10:23:52+08:00 ] /xxx2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000436s ]
[ 2012-09-19T10:23:52+08:00 ] /xxx2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000526s ]
[ 2012-09-19T10:23:52+08:00 ] /xxx2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000521s ]
[ 2012-09-19T10:23:52+08:00 ] /xxx2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000516s ]
[ 2012-09-19T10:23:52+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002192s ]
[ 2012-09-19T10:23:52+08:00 ] /xxx2/ | INFO: Tag[ view_end ] --START--
[ 2012-09-19T10:23:52+08:00 ] /xxx2/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000473s ]
[ 2012-09-19T10:23:52+08:00 ] /xxx2/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000536s ]
[ 2012-09-19T10:48:20+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-19T10:48:20+08:00 ] /xxx2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000891s ]
[ 2012-09-19T10:48:20+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000994s ]
[ 2012-09-19T10:48:20+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.003600s ]
[ 2012-09-19T10:48:20+08:00 ] /xxx2/ | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0  [ RunTime:0.002387s ]
[ 2012-09-19T10:48:20+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.003515s ]
